judul,tanggal,isi,kategori
"Apriyani Rahayu Sudah Berlatih Lagi, Ingin Comeback Tahun Depan","Rabu, 06 Nov 2024 15:25 WIB","Jakarta - Atlet bulutangkis Indonesia Apriyani Rahayu berencana kembali tampil di turnamen-turnamen BWF tahun depan. Ia pun sudah mulai latihan lagi. Selepas Olimpiade Juli 2024, Apriyani memang praktis seperti 'hilang' dari dunia perbulutangkisan. Ia sempat dijadwalkan ikut turnamen Japan Open bersama Siti Fadia Silva Ramadhanti, tapi federasi menarik keikutsertaannya. Setelah itu, pasangan ganda putri andalan Indonesia itu tak pernah lagi muncul di tur BWF yang sudah berjalan. Malah Fadia kini dipasangkan dengan Lanny Tria Mayasari untuk bertanding di kejuaraan-kejuaraan bulutangkis. Lantas sudah lebih dari tiga bulan berjalan, bagaimana kabar Apriyani? Ditemui di Pelatnas PBSI, Cipayung, peraih medali emas Olimpiade Tokyo 2020 bersama Greysia Polii itu menceritakan kondisinya kini dan rencana ke depan. ""Alhamdulillah baik hari ini dan sudah mulai latihan juga. Doakan saja yang terbaik sekiranya bisa lebih cepat comebacknya,"" kata Apriyani kepada pewarta di Pelatnas PBSI Cipayung, Rabu (6/11/2024). Apri mengaku absen di sejumlah turnamen sebagai pemulihan diri. Setelah proses penyembuhan imbas cedera, hasil di Paris memang tak begitu memuaskan. Bersama Fadia, Apri tersingkir di fase grup A usai menelan tiga kekalahan. ""Ya pasti pemulihan, semuanya sih entah pikiran, menjalani supaya bisa damai lah dengan Olimpiade kemarin, coba untuk meluangkan waktu sendiri dulu sih, benar-benar keep dari semuanya. Berapa lama juga tak pegang raket,"" ujarnya. Sekarang, Apriyani Rahayu sudah mulai menjalani latihan lagi seperti biasa. Hasilnya cukup membuat dia melepas semua hal yang membebaninya. ""Latihan resmi sudah mulai hampir sebulan lalu. Karena ada saja yang aku lakukan supaya enggak kosong. Tapi benar-benar waktu buat diri sendiri dulu,"" kata Apri. ""Alhamdullilah lebih baik setelah yang sudah terjadi di Olimpiade, apa yang dirasakan dengan diri sendiri itu alhamdullilah sudah pelan-pelan membaik."" Namun, Apri enggan berspekulasi soal turnamen mana yang akan diikuti sebagai penanda ia kembali ke lapangan. Termasuk kans kembali berpasangan dengan Fadia. ""Ya doakan saja kayaknya bisa comeback lebih cepat saja. Doakan saja buat Apri dan semuanya,"" ujarnya. ""Belum tahu (sama Fadia lagi). Ya comebacknya ditunggu saja lah. Maksudnya sekiranya apa yang terbaik saja buat tahun depannya. Doakan saja buat saya dan ganda putri,"" kata Apriyani Rahayu mempertegas. (mcy/krs)",Olahraga
Hasil Korea Masters 2024: Putri KW Lanjut ke 16 Besar,"Rabu, 06 Nov 2024 14:36 WIB","Jakarta - Putri Kusuma Wardani hadapi wakil Taiwan, Huang Yu-Hsun di Korea Masters 2024. Putri KW menang dua gim langsung dan kunci tiket ke babak 16 besar! Korea Masters 2024 berlangsung di Iksan City, Korea Selatan, Rabu (6/1). Hari ini merupakan perebutan tiket ke babak 16 besar. Di nomor tunggal putri, Putri Kusuma Wardani ditantang Huang Yu-Hsun. Putri KW menangi gim pertama 21-4 dan menangi gim kedua .. Gim pertama dimulai, Putri KW langsung pegang kendali. Dirinya nyaman memimpin 7-1, lalu unggul di interval 11-2. Putri KW terus tancap gas. Tak butuh waktu lama, dirinya sudahi gim pertama dengan kemenangan telak 21-4. Gim kedua, Huang Yu-Hsun coba bangkit dengan unggul duluan 3-1. Putri KW langsung menyalipnya, 4-3 dan unggul di interval 11-4. Putri KW terus memimpin 15-5. Selanjutnya, Putri KW mampu kunci gim kedua dengan kemenangan 21-9. (aff/yna)",Olahraga
Fajar/Rian di Japan dan China Masters: Inginnya Juara,"Rabu, 06 Nov 2024 14:13 WIB","Jakarta - Fajar Alfian/Muhammad Rian Ardianto berharap dapat juara di dua turnamen tersisa sebelum BWF World Tour Finals 2024. Mereka bakal berjuang tapi tak mau terbebani. Dua turnamen yang dimaksud Fajar/Rian ialah Kumamoto Japan Masters (12-17 November) dan China Masters 2024 (19-24 November). Kedua ajang ini merupakan kejuaraan terakhir sebelum mereka memastikan diri main di BWF World Tour Finals, Hangzhou, Desember mendatang. ""Inginnya juara, apalagi banyak pemain berdatangan yang baru berpasangan, banyak rombak. Jadi tidak gampang ditebak dan tidak seperti sebelum olimpiade, tapi kami akan terus berusaha lah,"" kata Fajar saat dijumpai di Pelatnas PBSI, Cipayung, Rabu (6/11/2024). Menurut Fajar, sejauh ini persiapan mereka sudah cukup baik. Mereka punya waktu recovery dan memperbaiki kekurangan-kekurangan dari hasil evaluasi tur Eropa. Setelah tampil di Olimpiade Paris, ganda putra berakronim FajRi ini belum mendapatkan kembali gelar juara. Hasil terbaik mereka dari empat turnamen yang diikuti semifinal Denmark Open 2024. Sisanya, mereka tersingkir di perempatfinal Japan Open, China Open, dan Arctic Open 2024. ""Persiapan kami cukup baik dari pertandingan sebelumnya di tur eropa, ada waktu 2-3 minggu semoga bisa menampilkan yang terbaik di Kumamoto dan China,"" tuturnya. ""Motivasi kami saat ini juga gas pol saja, yang penting kami berusaha terus. Inginnya pasti menang dan juara, tapi kami berusaha lebih enjoy dan tidak mau terbebani, yang penting di lapangan maksimal."" ""Meski hasilnya kemarin kalah kalah kalah, belum juara tapi kemarin sudah bisa di semifinal tidak 8 besar lagi. Jadi proses lah step by step,"" kata Fajar. (mcy/aff)",Olahraga
Hasil Korea Masters 2024: Komang Ayu Tersingkir,"Rabu, 06 Nov 2024 12:45 WIB","Jakarta - Komang Ayu Cahya Dewi hadapi Liang Ting Yu di lanjutan Korea Masters 2024. Komang Ayu kalah dalam tiga gim, gagal lanjut ke babak 16 besar! Korea Masters 2024 berlangsung di Iksan City, Korea Selatan, Rabu (6/1). Hari ini masih jalani perebutan tiket ke babak 16 besar. Wakil tunggal putri Indonesia, Komang Ayu Cahya Dewi hadapi wakil dari Taiwan, Liang Ting Yu. Komang Ayu menang dalam tiga gim, 21-13, 19-21, dan kalah dramatis 21-23 Gim pertama berjalan ketat. Komang Ayu sempat tertinggal 3-5, lalu berbalik unggul di interval 11-9. Dirinya terus jaga jarak 14-13. Poin Liang tertahan di 13, Komang Ayu selanjutnya menang gim pertama 21-13. Di gim kedua, Liang Ting Yu bangkit duluan untuk melaju 6-1. Komang Ayu rapatkan jarak 6-7, kemudian tertinggal di interval 9-11. Liang menjaga ritmenya dan jaga jarak 16-11. Koman Ayu coba mendekat lagi dan sukses samakan poin 19-19, tapi kemudian kalah 19-21. Di gi ketiga, Liang unggul duluan lagi 5-2. Komang Ayu samakan poin 5-5, serta bisa unggul di interval 11-9. Komang Ayu pertahankan momentumnya untuk unggul 15-10. Komang Ayu terus melaju 19-14, kemudian ditempel 19-19, disalip 19-20, akhirnya kalah 21-23. (aff/krs)",Olahraga
Korea Masters 2024 Hari Kedua: Tiga Wakil RI Berjuang ke 16 Besar,"Rabu, 06 Nov 2024 10:55 WIB","Jakarta - Turnamen Korea Masters 2024 memasuki hari kedua penyelenggaraan pada Rabu (6/11). Indonesia masih menyisakan tiga wakil yang baru memulai perjuangannya hari ini. Indonesia diketahui menurunkan tujuh wakil di turnamen BWF Super 300 ini. Tiga wakil sudah memastikan tiket 16 besar pada Senin (5/11). Mereka ialah Daniel Marthin/Muhammad Shohibul Fikri, Sabar Karyaman Gutama/Moh. Reza Pahlevi Isfahani, dan ganda campuran Dejan Ferdinansyah/Gloria Emanuelle Widjaja yang lebih dulu memastikan lolos ke babak kedua setelah mendapat bye. Adapun ganda putri Indonesia Jesita Putri Miantoro/Febi Setianingrum harus langsung tersingkir usai kalah dari Hu Ling Fang/Jheng Yu Chieh 14-21, 12-21. Nah, hari ini babak 32 besar berlanjut dengan memainkan sejumlah pemain yang masih tersisa. Wakil-wakil Merah Putih di antaranya. Dari mulai tunggal putri Komang Ayu Cahya Dewi, Putri Kusuma Wardani, hingga ganda putri Febriana Dwipuji Kusuma/Amalia Cahya Pratiwi. Mereka semua akan menghadapi lawan-lawan dari Taiwan. Laga sudah dimulai pukul 10.00 waktu setempat di Iksan Gymnasium, Korea Selatan. Dari tiga lawan tersebut, hanya Komang yang sudah pernah berjumpa dengan rivalnya sebanyak dua kali. Saat ini head to head Komang dengan Liang imbang 1-1. Berikut Jadwalnya: Lapangan 3 Partai 6 Komang Ayu Cahya Dewi vs Liang Ting Yu (Taiwan) Partai 11 Febriana Dwipuji Kusuma/Amalia Cahya Pratiwi (3) vs Hsieh Pei Shan/Hung En-Tzu (Taiwan) Lapangan 4 Partai 10 Putri Kusuma Wardani (2) vs Huang Yu- Hsun. (mcy/aff)",Olahraga
Korea Masters 2024: Fikri/Daniel Puji Lawan Usai Lolos 16 Besar,"Selasa, 05 Nov 2024 22:00 WIB","Iksan - Muhammad Shohibul Fikri/Daniel Marthin melontarkan pujian pada lawannya, Kang Khai Xing/Aaron Tai. Mereka dinilai punya potensi bagus di masa depan. Hal itu dikatakan Fikri usai mengalahkan Kang Khai Xing/Aaron Tai di babak pertama Korea Masters 2024 , pada laga yang bergulir di Iksan Gymnasium, pada Selasa (5/11). ""Pertama mengucap syukur alhamdulillah, pertandingannya berjalan lancar dan diberikan kemenangan,"" kata Fikri lewat keterangan singkatnya melalui PBSI. ""Sebagai juara dunia junior, mereka (Kang/Aaron) bermain sangat baik, safety dan cukup pintar. Mereka sangat berpotensi untuk menjadi ganda putra yang sangat bagus ke depan,"" ujarnya. Fikri mengatakan hal tersebut bukan tanpa alasan yang jelas. Bersama Daniel, Fikri memang baru saja mengalahkan wakil Malaysia itu dengan skor ketat 22-20, 21-17. Fikri mengatakan pertandingan pertama mereka melawan juara dunia junior 2024 tersebut cukup sulit. ""Tadi cukup alot permainannya, lawan bermain sangat baik, tapi kami masih bisa menguasai pertandingan,"" katanya. Kemenangan itu membawa Fikri/Daniel ke babak 16 besar Korea Masters 2024. Selanjutnya, mereka akan menghadapi wakil tuan rumah, Jin Yong/Kim Won Ho. Jin/Kim juga lolos ke babak kedua usai mengalahkan Lu Ching Yao/Wu Guan Xun dua gim langsung 21-18, 21-8. Selain Fikri/Daniel, ganda putra lainnya Sabar Karyaman Gutama/Moh Reza Pahlevi Isfahani juga memastikan lolos babak kedua. Pasangan seeded ketiga itu mengalahkan Chen Zhi Ray/Lin Yu Chieh (Taiwan) dalam laga rubber 21-18, 10-21, 21-19. Berikutnya, Sabar/Reza kembali berjumpa wakil Taiwan, Ming Che Lu/Tang Kai Wei. (mcy/pur)",Olahraga
Catalunya Resmi Gantikan Valencia Jadi Seri Terakhir MotoGP 2024,"Selasa, 05 Nov 2024 18:43 WIB","Jakarta - MotoGP tunjuk Sirkuit Catalunya di Barcelona bakal jadi seri terakhir MotoGP 2024. Itu setelah balapan gagal digelar di Valencia karena bencana banjir. ""MotoGP mengonfirmasi penutup balapan 2024 akan diadakan di Barcelona. Kami kembali ke Sirkuit Catalunya,"" tulis informasi dari situs resmi MotoGP. Jadwal balapan tidak berubah, tetap pada tanggal 15-17 November 2024. Seperti diketahui, awalnya seri terakhir MotoGP 2024 bakal digelar di Valencia, tapi ada bencana banjir bandang di wilayah tersebut dan menelan korban ratusan jiwa. ""MotoGP menunjuk Barcelona karena itu adalah pilihan terbaik. Lokasi dan sirkuit juga merupakan pilihan yang paling efisien, juga menyediakan alternatif yang baik untuk personel dan logistik,"" lanjut bunyi pernyataan MotoGP. Seri terakhir MotoGP 2024 bakal jadi final buat Jorge Martin vs Francesco Bagnaia. Martin sementara unggul 24 poin! (aff/aff)",Olahraga
Korea Masters 2024: Fikri/Daniel Singkirkan Pasangan Malaysia,"Selasa, 05 Nov 2024 18:36 WIB","Iksan - Muhammad Shohibul Fikri/Daniel Marthin mampu mengalahkan Kang Khai Xing/Aaron Tai pada laga Korea Masters 2024 . Mereka menang dua gim langsung 22-20,21-17. Muhammad Shohibul Fikri/Daniel Marthin melawan Kang Khai Xing/Aaron Tai (Malaysia) pada babak pertama BWF Super 300 Korea Masters 2024. Duel berlangsung di Iksan Gymnasium, Korea Selatan, Selasa (5/11/2024). Laga berlangsung ketat di awal gim pertama. Kang/Aaron kemudian sempat unggul 8-5. Fikri/Daniel mengejar untuk menyetarakan angka 10-10. Mereka bisa unggul tipis 11-10 saat interval gim pertama. Kejar-mengejar angka terjadi setelah interval hingga 14-14. Kang/Aaron punya momentum untuk menjauh usai mendulang empat angka beruntun. Fikri/Daniel bisa bangkit untuk membuat skor kembali imbang 19-19. Unggulan kelima ini tampil apik di poin-poin krusial. Harus melalui setting, Fikri/Daniel mengamankan gim pertama 22-20. Pertandingan masih berjalan sengit di gim kedua. Kedua pasangan silih berganti unggul hingga kedudukan imbang 7-7. Fikri/Daniel sempat menjauh 10-7. Namun, Kang/Aaron kembali mengejar hingga 12-12. Duel semakin sengit selepas interval gim kedua. Momentum untuk memenangkan gim kedua hadir untuk Indonesia setelah skor 14-14. Fikri/Daniel bisa memimpin 18-15. Mereka mampu mempertahankan jarak angka. Fikri/Daniel memenangi gim kedua 21-17 untuk menyingkirka Kang/Aaron. Hasil ini mengantarkan mereka melaju ke babak kedua. Pada laga sebelumnya, ganda putri Indonesia, Jesita Putri Miantoro/Febi Setianingrum. gagal lolos ke babak kedua. Mereka dikalahkan Hu Ling Fang/Jheng Yu Chieh dua gim langsung 14-21, 12-21. (pur/aff)",Olahraga
Hitung-hitungan Jorge Martin Bisa Juara MotoGP 2024,"Selasa, 05 Nov 2024 18:10 WIB","Jakarta - Penentuan juara dunia MotoGP 2024 harus ditentukan hingga seri terakhir. Berikut hitung-hitungan rider Pramac Ducati, Jorge Martin , agar bisa menjadi kampiun. Hasil MotoGP Malaysia 2024 membuat pesta Jorge Martin tertunda. Dia sukses memenangi sprint race, tapi rider Ducati, Francesco Bagnaia, sukses memenangi main race. Dengan hasil akhir pekan lalu itu, Martin masih ada di posisi teratas klasemen MotoGP 2024 dengan raihan 485 poin. Bagnaia setia menguntit dengan jarak 24 poin. MotoGP 2024 masih menyisakan satu seri lagi. Balapan MotoGP Valencia sudah dibatalkan karena bencana banjir bandang, MotoGP Barcelona menjadi penggantinya pada 16-18 November 2024. Pada balapan di Catalunya itu, Jorge Martin tinggal membutuhkan kemenangan di sprint race untuk mengunci gelar juara dunia. Pada musim ini, Jorge Martin, mendapatkan julukan Mr Saturday. Sebabnya, dia sering menang pada balapan hari Sabtu alias sprint race. Martinator sudah tujuh kali menang. Kalau mendapat tambahan 10 poin lagi, perolehan poin Martin sudah tak mungkin dikejar oleh Bagnaia. Andai tidak menang, Martin tinggal membutuhkan dua poin lebih banyak dibandingkan Bagnaia untuk menjadi juara dunia. Sebagai contoh, andai Jorge Martin finis kedua, maka dia akan menjadi juara kalau Bagnaia finis ketiga atau lebih buruk. Dengan catatan itu, maka peluang Martin untuk menjadi juara dunia MotoGP 2024 akan semakin terbuka lebar! (cas/aff)",Olahraga
Ranking BWF: Lanny/Fadia Melesat 38 Anak Tangga Dunia,"Selasa, 05 Nov 2024 17:25 WIB","Jakarta - Ranking Lanny Tria Mayasari/Siti Fadia Silva Ramadhanti melesat 38 anak tangga dunia per tanggal 5 November 2024. Kepastian itu diperoleh dalam daftar peringkat terbaru yang dirilis BWF . Lanny/Fadia memang baru saja menjadi runner up di turnamen BWF Super 100 Indonesia Masters II yang baru berakhir Minggu (3/11). Prestasi ini mengikuti keberhasilan mereka sebelumnya di Indonesia International Challenge dengan menjadi juara di lokasi yang sama. Kini, Lanny/Fadia berada di peringkat 102 dunia. Tak hanya Lanny/Fadia, wakil-wakil Indonesia lainnya yang sukses di Indonesia Masters II juga mengalami kenaikan peringkat dunia. Satu di antaranya ganda putra Rahmat Hidayat/Yeremia Erich Yoche Yacob Rambitan. Keduanya mengalahkan rekan satu negaranya, Raymond Indra/Patra Harapan Rindorindo dengan skor 23-21, 21-18 dan menyegel gelar juara pada laga final yang digelar di Jatim Expo, Surabaya, Minggu (3/11). Keberhasilan itu membawa mereka naik tujuh tingkat atau ranking ke-44 pada pekan ini. Sebelumnya, Rahmat/Yere berada di posisi ke-51. Sebelumnya, pelatih ganda putra David Pohan meyakini Rahmat/Yeremia dapat bersaing di level yang lebih tinggi lagi. Untuk itu, ia berharap ke depannya performa atletnya tersebut bisa jauh lebih berkembang. ""Tentu senang melihat grafik permainan dari Rahmat/Yeremia. Ini merupakan kerja keras mereka. Saya berharap mereka tidak cepat puas dan bisa lebih meningkat lagi dan bersaing di level yang lebih bergengsi lagi,"" ujar pelatih berusia 46 tahun itu, dalam rilis PBSI. Dari sektor lainnya khususnya tunggal putra, Alwi Farhan, juga mengalami perubahan ranking pada pekan ini. Alwi naik peringkat ke-37 atau naik enam tingkat dari pekan lalu setelah menjadi juara di turnamen BWF Super 100 pada akhir minggu lalu. Sementara untuk Ni Kadek Dhinda Amartya yang juga baru menjuarai Indonesia Masters II Super 100-2024 di Surabaya sukses menempati peringkat ke-186. Ni Kadek melesat dengan kenaikan 145 tingkat pada pekan ini. Pelatih tunggal putri pratama Morico mengatakan Dhinda memiliki potensi besar untuk ke depannya. Hanya saja perlu lebih dibentuk mental, disiplin, serta semangat tidak mau kalahnya. ""Bicara mengenai potensi, saya merasa Dhinda punya semangat juang tidak mau mengalah yang tinggi. Tentu hal ini sangat luar biasa dan kami mencoba terus untuk meningkatkannya. Dhinda merupakan contoh yang baik buat pemain lainnya,"" kata Morico. Bergeser ke ganda campuran, Amri Syahnawi/Nita Violina Marwah juga naik 25 anak tangga dengan menempati ranking ke-74. Mereka menjadi juara setelah mengalahkan kompatriotnya, Marwan Faza/Aisyah Salsabilah Putri Pranata di babak final Indonesia Masters II. Marwan/Aisyah juga memperbaiki ranking BWF mereka setelah menjadi runner up. Mereka naik 23 tingkat dan berada di urutan 97 dunia. (mcy/aff)",Olahraga
